no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas
PZQ399,SILVER,MAZDA,1999,CAR,2023-10-14,Bay of Plenty,4
LLF27,BLACK,MAZDA,2009,CAR,2023-10-15,Bay of Plenty,4
EJM12,SILVER,TOYOTA,1998,CAR,2023-10-16,Bay of Plenty,4
C4GUS,BLACK,FORZA,2021,MOTORCYCLE,2023-10-16,Bay of Plenty,4
343F2,WHITE,ELDDIS,2004,CAMPER,2023-10-16,Bay of Plenty,4
PX1000,WHITE,JAGUAR,1991,CAR,2023-10-17,Bay of Plenty,4
FPH225,GREY,SUBARU,2004,CAR,2023-10-18,Bay of Plenty,4
PPY100,SILVER,AUDI,2009,CAR,2023-10-18,Bay of Plenty,4
FJL491,BLACK,MAZDA,2001,CAR,2023-10-18,Bay of Plenty,4
66Q67,SILVER,HOMEBUILT,2020,TRAILER,2023-10-19,Bay of Plenty,4
DUE345,GREY,NISSAN,2007,CAR,2023-10-19,Bay of Plenty,4
FWN334,SILVER,TOYOTA,2008,UTILITY TRUCK,2023-10-20,Bay of Plenty,4
KPK861,GREY,FORD,2017,UTILITY TRUCK,2023-10-22,Bay of Plenty,4
8129K,SILVER,HOMEBUILT,1993,TRAILER,2023-10-22,Bay of Plenty,4
CMM241,SILVER,BMW,2005,CAR,2023-10-24,Bay of Plenty,4
T548J,BLACK,FACTORY BUILT,2005,TRAILER,2023-10-24,Bay of Plenty,4
355L9,SILVER,TITAN,2022,TRAILER,2023-10-24,Bay of Plenty,4
DJN547,GREY,FORD,2006,CAR,2023-10-24,Bay of Plenty,4
EAM152,SILVER,CADILLAC,2002,CAR,2023-10-26,Bay of Plenty,4
86QJM,BLUE,HOMEBUILT,1987,TRAILER,2023-10-26,Bay of Plenty,4
INVRSE,SILVER,BMW,2007,CAR,2023-10-26,Bay of Plenty,4
6M916,SILVER,HOMEBUILT,2017,TRAILER,2023-10-27,Bay of Plenty,4
5L549,GREY,HOMEBUILT,2013,TRAILER,2023-10-27,Bay of Plenty,4
GDN23,WHITE,FORD,2011,UTILITY TRUCK,2023-10-27,Bay of Plenty,4
3D481,SILVER,CUSTOMBUILT,2015,TRAILER,2023-10-27,Bay of Plenty,4
